date,open_price,high_price,low_price,close_price,monthly_change_(open_to_close)_%,range_%,closing_momentum,volatility_index,momentum_score
2020-12-31,1.1924,1.231,1.1923,1.2214,2.4278,3.2467,0.7512,3.1694,0.7479
2021-01-29,1.2215,1.235,1.2052,1.2136,-0.6451,2.4685,0.283,2.4513,-0.2649
2021-02-26,1.2128,1.2243,1.1951,1.207,-0.479,2.445,0.4086,2.4208,-0.1988
2021-03-31,1.2072,1.2113,1.1702,1.1727,-2.8596,3.5148,0.0598,3.5074,-0.8393
2021-04-30,1.1726,1.215,1.1711,1.2019,2.4987,3.7486,0.7016,3.6526,0.6674
2021-05-31,1.2026,1.2266,1.1984,1.2226,1.6656,2.3565,0.8569,2.3098,0.7093
2021-06-30,1.2226,1.2254,1.1843,1.1857,-3.0174,3.4738,0.034,3.4697,-0.8967
2021-07-30,1.1856,1.1909,1.175,1.1868,0.1012,1.3506,0.7461,1.3372,0.0756
2021-08-31,1.1864,1.19,1.1662,1.1808,-0.4678,2.0382,0.6142,2.013,-0.2335
2021-09-30,1.1809,1.1909,1.1561,1.158,-1.9375,3.0101,0.0546,3.0052,-0.6575
2021-10-29,1.158,1.1692,1.1523,1.1561,-0.1658,1.4684,0.2246,1.4635,-0.1135
2021-11-30,1.1563,1.1616,1.1185,1.1337,-1.9571,3.857,0.3519,3.8053,-0.5246
2021-12-31,1.1335,1.1386,1.122,1.1366,0.2726,1.484,0.8763,1.4649,0.1856
2022-01-31,1.1371,1.1483,1.112,1.1233,-1.2075,3.2644,0.3124,3.2314,-0.3782
2022-02-28,1.1235,1.1495,1.1104,1.1218,-0.1522,3.5204,0.2904,3.4847,-0.0437
2022-03-31,1.1218,1.1233,1.0804,1.1066,-1.3514,3.9717,0.6106,3.8776,-0.3533
2022-04-29,1.1066,1.1076,1.0469,1.0541,-4.7425,5.799,0.1186,5.7594,-0.8644
2022-05-31,1.0546,1.0787,1.0348,1.0731,1.7532,4.2424,0.8731,4.0908,0.4212
2022-06-30,1.0731,1.0774,1.0357,1.0477,-2.3642,4.0243,0.2881,3.9782,-0.6087
2022-07-29,1.0477,1.0482,0.995,1.0225,-2.4072,5.3467,0.5165,5.203,-0.4741
2022-08-31,1.0218,1.0369,0.9899,1.005,-1.6451,4.7449,0.3217,4.6736,-0.3579
2022-09-30,1.0051,1.0198,0.9532,0.98,-2.4914,6.9859,0.4029,6.7947,-0.376
2022-10-31,0.9795,1.0094,0.9629,0.9881,0.878,4.826,0.5431,4.7028,0.1851
2022-11-30,0.9882,1.0497,0.9728,1.0404,5.2855,7.904,0.8793,7.3904,0.6793
2022-12-30,1.0404,1.0736,1.0391,1.0702,2.8681,3.327,0.9022,3.2301,0.8632
2023-01-31,1.0703,1.0929,1.0482,1.0863,1.4902,4.2722,0.8508,4.1224,0.3562
